T(K),a,da/dT
26.6874,0,0
26.6874,0,0
26.6874,0,0
26.7887,-2.6808E-06,2.6808E-06
26.9913,-8.04E-06,5.36E-06
27.4978,-2.14464E-05,1.3404E-05
28.916,-5.89775E-05,3.75312E-05
33.5758,-0.000182294,0.000123317
46.6435,-0.000528117,0.000345823
67.0048,-0.001066957,0.00053884
77.3374,-0.001340398,0.000273441
78.4517,0.008734451,0.01007485
78.2491,0.008739813,5.36E-06
78.3504,0.008737132,2.6808E-06
78.7556,0.008726409,1.07232E-05
79.566,0.008704963,2.14464E-05
80.7816,0.008672793,3.21696E-05
84.4284,0.008576284,9.65087E-05
94.0519,0.008321609,0.000254676
106.0053,0.018109613,0.009788004
113.2989,0.017916596,0.000193017
116.3379,0.017836172,8.04239E-05
117.8574,0.027900298,0.010064127
119.4782,0.027857406,4.28927E-05
122.0107,0.027790386,6.70199E-05
127.2783,0.027650984,0.000139401
136.3953,0.037514051,0.009863067
146.7279,0.047344948,0.009830897
154.4267,0.047141208,0.000203741
159.0865,0.05712223,0.009981022
162.4294,0.057033763,8.84663E-05
165.7723,0.067049636,0.010015872
170.2295,0.06693168,0.000117955
176.814,0.066757429,0.000174252
184.8167,0.076649984,0.009892556
192.6168,0.076443563,0.000206421
199.4039,0.07626395,0.000179613
205.178,0.086215483,0.009951533
210.243,0.086081443,0.00013404
215.308,0.085947403,0.00013404
220.373,0.095917702,0.009970299
226.451,0.095756854,0.000160848
233.542,0.095569198,0.000187656
239.62,0.09540835,0.000160848
246.711,0.095220694,0.000187656
251.776,0.105190993,0.009970299
257.854,0.105030145,0.000160848
263.932,0.104869297,0.000160848
270.01,0.10470845,0.000160848
276.088,0.104547602,0.000160848
282.166,0.104386754,0.000160848
288.244,0.114330245,0.009943491
294.322,0.114169397,0.000160848
300.4,0.114008549,0.000160848
306.478,0.12395204,0.009943491
312.556,0.133895531,0.009943491
318.634,0.143839021,0.009943491
325.725,0.163860042,0.020021021
326.738,0.173937573,0.01007753
329.777,0.194065826,0.020128253
331.803,0.204116548,0.010050723
332.816,0.214194079,0.01007753
335.855,0.224217993,0.010023915
337.881,0.234268716,0.010050723
339.907,0.244319438,0.010050723
341.933,0.254370161,0.010050723
343.959,0.264420883,0.010050723
345.985,0.274471606,0.010050723
348.011,0.284522329,0.010050723
350.037,0.294573051,0.010050723
352.063,0.304623774,0.010050723
354.089,0.314674496,0.010050723
356.115,0.324725219,0.010050723
358.141,0.324671603,5.36159E-05
360.167,0.334722325,0.010050723
362.193,0.344773048,0.010050723
365.232,0.354796962,0.010023915
367.258,0.354743346,5.36159E-05
369.284,0.364794069,0.010050723
371.31,0.374844791,0.010050723
373.336,0.384895514,0.010050723
375.362,0.394946236,0.010050723
377.388,0.394892621,5.36159E-05
379.414,0.404943343,0.010050723
381.44,0.404889727,5.36159E-05
383.466,0.41494045,0.010050723
386.505,0.424964364,0.010023915
388.531,0.435015087,0.010050723
390.557,0.434961471,5.36159E-05
392.583,0.445012193,0.010050723
394.609,0.444958577,5.36159E-05
396.635,0.4550093,0.010050723
398.661,0.465060022,0.010050723
400.687,0.465006407,5.36159E-05
402.713,0.464952791,5.36159E-05
404.739,0.475003513,0.010050723
406.765,0.485054236,0.010050723
408.791,0.48500062,5.36159E-05
410.817,0.495051342,0.010050723
412.843,0.494997726,5.36159E-05
415.882,0.505021641,0.010023915
417.908,0.504968025,5.36159E-05
419.934,0.515018747,0.010050723
421.96,0.514965132,5.36159E-05
423.986,0.525015854,0.010050723
426.012,0.524962238,5.36159E-05
428.038,0.524908622,5.36159E-05
430.064,0.534959345,0.010050723
432.09,0.534905729,5.36159E-05
434.116,0.544956451,0.010050723
436.142,0.544902835,5.36159E-05
439.181,0.55492675,0.010023915
441.207,0.554873134,5.36159E-05
443.233,0.554819518,5.36159E-05
445.259,0.564870241,0.010050723
447.285,0.564816625,5.36159E-05
449.311,0.574867347,0.010050723
451.337,0.574813731,5.36159E-05
453.363,0.574760115,5.36159E-05
457.415,0.584757222,0.009997107
460.454,0.584676798,8.04239E-05
461.467,0.594754329,0.01007753
463.493,0.594700713,5.36159E-05
466.532,0.604724627,0.010023915
467.545,0.604697819,2.6808E-05
469.571,0.604644203,5.36159E-05
471.597,0.604590587,5.36159E-05
473.623,0.61464131,0.010050723
476.662,0.614560886,8.04239E-05
478.688,0.61450727,5.36159E-05
480.714,0.624557993,0.010050723
481.727,0.624531185,2.6808E-05
484.766,0.624450761,8.04239E-05
486.792,0.624397145,5.36159E-05
488.818,0.624343529,5.36159E-05
494.896,0.634287019,0.009943491
500.974,0.64423051,0.009943491
507.052,0.654174001,0.009943491
513.13,0.654013153,0.000160848
519.208,0.663956644,0.009943491
525.286,0.673900134,0.009943491
531.364,0.673739287,0.000160848
537.442,0.683682777,0.009943491
543.52,0.683521929,0.000160848
549.598,0.69346542,0.009943491
555.676,0.693304572,0.000160848
563.78,0.703194447,0.009889875
567.832,0.703087215,0.000107232
573.91,0.713030706,0.009943491
579.988,0.712869858,0.000160848
586.066,0.722813349,0.009943491
592.144,0.732756839,0.009943491
598.222,0.732595992,0.000160848
604.3,0.742539482,0.009943491
609.365,0.742405442,0.00013404
615.443,0.752348933,0.009943491
621.521,0.752188085,0.000160848
627.599,0.752027237,0.000160848
634.69,0.76194392,0.009916683
639.755,0.76180988,0.00013404
644.82,0.771780179,0.009970299
650.898,0.771619331,0.000160848
656.976,0.771458483,0.000160848
663.054,0.781401974,0.009943491
668.119,0.781267934,0.00013404
674.197,0.791211425,0.009943491
680.275,0.791050577,0.000160848
686.353,0.790889729,0.000160848
691.418,0.800860028,0.009970299
697.496,0.80069918,0.000160848
703.574,0.810642671,0.009943491
709.652,0.810481823,0.000160848
714.717,0.810347783,0.00013404
720.795,0.810186935,0.000160848
725.86,0.820157234,0.009970299
731.938,0.819996386,0.000160848
738.016,0.819835538,0.000160848
743.081,0.829805837,0.009970299
749.159,0.829644989,0.000160848
755.237,0.829484141,0.000160848
766.38,0.839293592,0.009809451
771.445,0.839159552,0.00013404
777.523,0.838998705,0.000160848
782.588,0.859073342,0.020074637
787.653,0.848834963,0.010238378
791.705,0.848727732,0.000107232
796.77,0.848593692,0.00013404
