T(K),a,da/dT
23.6484,0,0
23.6484,0,0
23.6484,0,0
23.7497,-1.94E-05,1.94E-05
24.0536,-7.77E-05,5.83E-05
24.7627,-0.000213672,0.000135973
26.0796,-0.000466193,0.000252521
29.5238,-0.001126634,0.00066044
38.9447,-0.002933132,0.001806499
56.7735,-0.006351882,0.00341875
67.6126,0.001718922,0.008070804
70.9555,0.001077906,0.000641016
72.5763,0.00076711,0.000310795
74.7036,0.000359191,0.000407919
76.7296,0.010119946,0.009760754
78.6543,0.009750876,0.00036907
80.2751,0.009440081,0.000310795
81.9972,0.009109861,0.00033022
86.7583,0.008196899,0.000912962
97.0909,0.016364827,0.008167928
107.5248,0.014364081,0.002000746
113.2989,0.013256872,0.001107209
116.5405,0.012635281,0.000621591
118.7691,0.022357186,0.009721905
120.7951,0.021968692,0.000388494
123.2263,0.031651747,0.009683056
127.4809,0.030835909,0.000815838
136.6992,0.02906826,0.001767649
145.6136,0.037508133,0.008439874
152.7046,0.036148403,0.00135973
157.6683,0.035196592,0.000951811
161.3151,0.044646551,0.009449959
164.9619,0.043947261,0.00069929
169.1152,0.043150848,0.000796413
174.6867,0.042082488,0.001068359
181.3725,0.050949706,0.008867217
188.4635,0.049589976,0.00135973
195.1493,0.048307944,0.001282031
200.7208,0.047239585,0.001068359
206.191,0.04619065,0.001048935
211.256,0.055368663,0.009178013
217.334,0.05420318,0.001165483
223.412,0.053037697,0.001165483
229.49,0.051872214,0.001165483
235.568,0.050706731,0.001165483
241.646,0.059690497,0.008983766
246.711,0.058719261,0.000971236
252.789,0.057553778,0.001165483
258.867,0.056388295,0.001165483
263.932,0.055417059,0.000971236
270.01,0.054251576,0.001165483
276.088,0.053086093,0.001165483
278.114,0.062846848,0.009760754
280.14,0.062458353,0.000388494
282.166,0.062069859,0.000388494
284.192,0.061681364,0.000388494
286.218,0.06129287,0.000388494
288.244,0.060904376,0.000388494
290.27,0.07066513,0.009760754
292.296,0.060127387,0.010537743
294.322,0.069888142,0.009760754
296.348,0.069499647,0.000388494
298.374,0.069111153,0.000388494
300.4,0.078871907,0.009760754
302.426,0.078483413,0.000388494
304.452,0.078094919,0.000388494
306.478,0.108154171,0.030059252
308.504,0.117914925,0.009760754
310.53,0.117526431,0.000388494
312.556,0.127287185,0.009760754
314.582,0.147197188,0.019910003
316.608,0.156957943,0.009760754
318.634,0.166718697,0.009760754
320.66,0.166330203,0.000388494
323.699,0.17589671,0.009566507
324.712,0.185851712,0.009955002
326.738,0.195612466,0.009760754
