T(K),a,da/dT
22.838,0,0
22.838,0,0
22.838,0,0
22.838,0,0
23.0406,-3.88E-05,3.88E-05
23.4458,-0.00011631,7.75E-05
24.5601,-0.000329545,0.000213235
28.2069,-0.001027404,0.000697859
39.4512,-0.003179136,0.002151732
61.0281,-0.007308135,0.004128999
76.3244,6.05E-05,0.007368607
79.566,-0.000559847,0.000620319
79.6673,-0.000579232,1.94E-05
79.7686,-0.000598617,1.94E-05
79.9712,0.009658351,0.010256968
80.1738,0.009619581,3.88E-05
80.7816,0.009503271,0.00011631
81.7946,0.009309422,0.00019385
84.2258,0.008844182,0.000465239
93.6467,0.00704138,0.001802803
108.7404,0.014448757,0.007407377
119.2756,0.01243272,0.002016037
123.4289,0.011637936,0.000794784
124.3406,0.011463471,0.000174465
124.8471,0.021662284,0.010198813
125.4549,0.021545974,0.00011631
126.6705,0.021313355,0.00023262
131.0264,0.030775539,0.009462184
142.5746,0.028565652,0.002209887
156.554,0.025890525,0.002675126
165.4684,0.034480386,0.00858986
170.1282,0.033588677,0.000891709
171.9516,0.033239747,0.00034893
173.4711,0.043244711,0.010004963
175.801,0.042798857,0.000445854
180.6634,0.041868378,0.000930479
188.7674,0.04031758,0.001550798
198.4922,0.048752361,0.008434781
207.204,0.047085253,0.001667108
213.282,0.045922154,0.001163098
218.347,0.044952906,0.000969249
222.399,0.054473245,0.009520339
226.451,0.053697846,0.000775399
232.529,0.052534748,0.001163098
239.62,0.051177799,0.001356948
246.711,0.049820851,0.001356948
252.789,0.058953491,0.00913264
258.867,0.057790393,0.001163098
265.958,0.056433444,0.001356948
271.023,0.055464196,0.000969249
277.101,0.054301097,0.001163098
279.127,0.053913398,0.000387699
281.153,0.063821436,0.009908039
283.179,0.063433737,0.000387699
285.205,0.063046037,0.000387699
287.231,0.062658338,0.000387699
289.257,0.062270639,0.000387699
291.283,0.061882939,0.000387699
293.309,0.06149524,0.000387699
295.335,0.06110754,0.000387699
297.361,0.071015579,0.009908039
299.387,0.070627879,0.000387699
301.413,0.07024018,0.000387699
303.439,0.06985248,0.000387699
306.478,0.069270931,0.000581549
307.491,0.079372819,0.010101888
310.53,0.07879127,0.000581549
312.556,0.088699309,0.009908039
314.582,0.088311609,0.000387699
316.608,0.098219648,0.009908039
318.634,0.118423424,0.020203777
319.647,0.118229575,0.00019385
322.686,0.138239501,0.020009927
324.712,0.137851802,0.000387699
325.725,0.158249428,0.020397626
328.764,0.167963617,0.009714189
330.79,0.177871656,0.009908039
332.816,0.187779694,0.009908039
334.842,0.197687733,0.009908039
336.868,0.207595771,0.009908039
338.894,0.21750381,0.009908039
340.92,0.227411848,0.009908039
342.946,0.237319887,0.009908039
344.972,0.236932187,0.000387699
346.998,0.246840226,0.009908039
349.024,0.256748264,0.009908039
352.063,0.266462453,0.009714189
354.089,0.276370492,0.009908039
356.115,0.28627853,0.009908039
358.141,0.296186569,0.009908039
360.167,0.306094607,0.009908039
362.193,0.305706908,0.000387699
364.219,0.315614946,0.009908039
367.258,0.325329135,0.009714189
369.284,0.335237174,0.009908039
371.31,0.334849474,0.000387699
373.336,0.344757513,0.009908039
375.362,0.354665551,0.009908039
377.388,0.354277852,0.000387699
379.414,0.36418589,0.009908039
382.453,0.373900079,0.009714189
383.466,0.37370623,0.00019385
386.505,0.383420418,0.009714189
388.531,0.393328457,0.009908039
390.557,0.392940757,0.000387699
392.583,0.402848796,0.009908039
394.609,0.402461096,0.000387699
396.635,0.412369135,0.009908039
398.661,0.422277174,0.009908039
400.687,0.421889474,0.000387699
402.713,0.431797513,0.009908039
404.739,0.431409813,0.000387699
406.765,0.441317852,0.009908039
409.804,0.440736303,0.000581549
411.83,0.450644341,0.009908039
