T(K),a,da/dT
762.328,0.798379462,0.009464727
768.406,0.797442029,0.000937433
773.471,0.796660835,0.000781194
779.549,0.805969323,0.009308488
784.614,0.805188128,0.000781194
789.679,0.804406934,0.000781194
794.744,0.803625739,0.000781194
798.796,0.813246705,0.009620966
803.861,0.812465511,0.000781194
808.926,0.811684316,0.000781194
813.991,0.821149043,0.009464727
818.043,0.820524088,0.000624956
822.095,0.819899132,0.000624956
